time,open,high,low,close,tick_volume,spread,real_volume
2025-11-03 12:50:00,3996.36,3998.53,3995.76,3996.92,576,18,0
2025-11-03 12:55:00,3996.78,3999.28,3996.73,3998.75,569,18,0
2025-11-03 13:00:00,3998.67,3999.63,3994.51,3998.55,808,18,0
2025-11-03 13:05:00,3998.57,4000.36,3997.06,3999.43,787,18,0
2025-11-03 13:10:00,3999.44,4002.32,3998.74,4000.87,772,18,0
2025-11-03 13:15:00,4000.57,4004.44,3998.86,4002.6,915,18,0
2025-11-03 13:20:00,4002.59,4004.92,4000.33,4004.74,792,18,0
2025-11-03 13:25:00,4004.75,4006.86,4003.55,4006.16,755,18,0
2025-11-03 13:30:00,4006.37,4006.98,4003.2,4003.74,875,18,0
2025-11-03 13:35:00,4003.75,4006.73,4002.94,4005.13,889,18,0
2025-11-03 13:40:00,4005.15,4006.17,4003.15,4005.29,592,18,0
2025-11-03 13:45:00,4005.28,4008.22,4004.44,4006.7,629,18,0
2025-11-03 13:50:00,4006.72,4008.51,4005.99,4006.72,658,18,0
2025-11-03 13:55:00,4006.73,4007.61,4005.44,4007.56,605,18,0
2025-11-03 14:00:00,4007.58,4008.49,4004.89,4005.48,866,18,0
2025-11-03 14:05:00,4005.3,4007.12,4004.8,4006.15,601,18,0
2025-11-03 14:10:00,4006.2,4008.64,4006.17,4007.07,705,18,0
2025-11-03 14:15:00,4007.05,4007.71,4006.11,4006.66,377,18,0
2025-11-03 14:20:00,4006.56,4006.79,4001.99,4006.28,828,18,0
2025-11-03 14:25:00,4006.29,4006.62,4004.4,4005.22,541,18,0
2025-11-03 14:30:00,4005.21,4010.83,4003.66,4009.51,929,18,0
2025-11-03 14:35:00,4009.47,4010.91,4007.79,4009.84,808,18,0
2025-11-03 14:40:00,4009.94,4009.94,4007.84,4008.27,484,18,0
2025-11-03 14:45:00,4008.24,4012.86,4008.07,4011.95,843,18,0
2025-11-03 14:50:00,4012.0,4012.6,4009.53,4011.44,717,18,0
2025-11-03 14:55:00,4011.46,4013.48,4010.69,4013.33,799,18,0
2025-11-03 15:00:00,4013.4,4017.69,4012.01,4014.73,1304,18,0
2025-11-03 15:05:00,4014.69,4015.55,4012.46,4013.86,1209,18,0
2025-11-03 15:10:00,4013.87,4018.3,4013.37,4015.61,1357,18,0
2025-11-03 15:15:00,4015.6,4018.33,4014.88,4018.18,1206,18,0
2025-11-03 15:20:00,4018.19,4019.59,4015.28,4016.04,1324,18,0
2025-11-03 15:25:00,4016.05,4017.69,4013.99,4014.25,1619,18,0
2025-11-03 15:30:00,4014.26,4016.2,4010.81,4015.65,1283,18,0
2025-11-03 15:35:00,4015.67,4020.45,4015.66,4018.38,1167,18,0
2025-11-03 15:40:00,4018.37,4019.2,4016.06,4017.36,1272,18,0
2025-11-03 15:45:00,4017.4,4018.2,4015.4,4016.55,1292,18,0
2025-11-03 15:50:00,4016.54,4017.65,4015.44,4016.8,962,18,0
2025-11-03 15:55:00,4016.78,4017.72,4014.74,4016.02,1030,18,0
2025-11-03 16:00:00,4016.05,4020.8,4014.95,4016.82,1466,18,0
